timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531558111280,4,setup,200,OK,setUp Thread Group 1-1,text,true,,202,0,1,1,0,0,0
1531558111790,0,Debug Sampler 3-1,200,OK,线程组 3 1-1,text,true,,203,0,2,2,0,0,0
1531558112031,0,Debug Sampler 3-1,200,OK,线程组 3 1-2,text,true,,203,0,3,3,0,0,0
1531558112090,0,Debug Sampler 3-2,200,OK,线程组 3 1-1,text,true,,202,0,3,3,0,0,0
1531558112280,0,Debug Sampler 3-1,200,OK,线程组 3 1-3,text,true,,203,0,4,4,0,0,0
1531558112332,0,Debug Sampler 3-2,200,OK,线程组 3 1-2,text,true,,202,0,4,4,0,0,0
1531558112391,0,Debug Sampler 3-3,200,OK,线程组 3 1-1,text,true,,202,0,4,4,0,0,0
1531558112533,1,Debug Sampler 3-1,200,OK,线程组 3 1-4,text,true,,202,0,5,5,0,0,0
1531558112571,1,Debug Sampler 3-2,200,OK,线程组 3 1-3,text,true,,202,0,5,5,0,0,0
1531558112622,0,Debug Sampler 3-3,200,OK,线程组 3 1-2,text,true,,203,0,5,5,0,0,0
1531558112683,0,Debug Sampler 3-1,200,OK,线程组 3 1-1,text,true,,203,0,5,5,0,0,0
1531558112783,0,Debug Sampler 3-1,200,OK,线程组 3 1-5,text,true,,202,0,6,6,0,0,0
1531558112836,0,Debug Sampler 3-2,200,OK,线程组 3 1-4,text,true,,203,0,6,6,0,0,0
1531558112874,0,Debug Sampler 3-3,200,OK,线程组 3 1-3,text,true,,203,0,6,6,0,0,0
1531558112931,0,Debug Sampler 3-1,200,OK,线程组 3 1-2,text,true,,203,0,6,6,0,0,0
1531558112987,0,Debug Sampler 3-2,200,OK,线程组 3 1-1,text,true,,202,0,6,6,0,0,0
1531558113040,0,Debug Sampler 3-1,200,OK,线程组 3 1-6,text,true,,203,0,7,7,0,0,0
1531558113093,0,Debug Sampler 3-2,200,OK,线程组 3 1-5,text,true,,203,0,7,7,0,0,0
1531558113136,0,Debug Sampler 3-3,200,OK,线程组 3 1-4,text,true,,203,0,7,7,0,0,0
1531558113174,1,Debug Sampler 3-1,200,OK,线程组 3 1-3,text,true,,203,0,7,7,0,0,0
1531558113232,0,Debug Sampler 3-2,200,OK,线程组 3 1-2,text,true,,202,0,7,7,0,0,0
1531558113290,0,Debug Sampler 3-3,200,OK,线程组 3 1-1,text,true,,202,0,8,8,0,0,0
1531558113291,0,Debug Sampler 3-1,200,OK,线程组 3 1-7,text,true,,203,0,8,8,0,0,0
1531558113344,0,Debug Sampler 3-2,200,OK,线程组 3 1-6,text,true,,203,0,8,8,0,0,0
